0,3,4,5,6,24_1,24_2,24_3,24
0,0,0,0,0,0,-,-,0
0,0.75,1.01,1.13,1.19,3.5,-,-,3.5
0,0.81,1.57,1.99,2.12,4,-,-,4
0,0.42,1.89,2.53,2.57,3.79,-,-,3.79
0,0.93,2.17,2.31,2.9,4.23,-,-,4.23
0,0,0,0,0,0,-,-,0
0,0,0.75,1.03,1.52,1.27,-,-,1.27
0,0.5,0.83,1.41,2.26,1.89,-,-,1.89
0,0.84,1.79,2.39,2.66,3.03,-,-,3.03
0,0,0,0,0,0,-,-,0
0,0.88,1.71,2.44,2.49,2.48,-,-,2.48
0,0.57,1.87,2.11,2.43,3.74,-,-,3.74
0,0.59,1.97,2.11,2.83,3.75,-,-,3.75
0,0,0,0,0,0,-,-,0
0,0,0.54,0.83,1.42,1.41,-,-,1.41
0,0,1.12,1.67,1.96,3.6,-,-,3.6
0,0.7,2.24,2.56,3.53,4.02,-,-,4.02
0,0,0,0,0,0,0,0,0
0,0,0.26,0.96,1.17,2.16,2.08,1.97,2.07
0,0,0.47,0.95,1.33,2.39,2.3,1.86,2.183333333
0,0,0.51,0.85,1.37,2.3,2.89,2.42,2.536666667
0,0,0.79,1.29,1.53,2.68,2.8,2.71,2.73
0,0,0,0,0,0,0,0,0
0,0,0.33,0.72,0.99,1.91,1.97,1.91,1.93
0,0,0.37,0.57,0.94,2.47,1.49,2.21,2.056666667
0,0.43,0.63,1.69,2,2.85,2.12,2.48,2.483333333
0,0,0.69,1.2,1.69,3.39,2,1.89,2.426666667
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0.43,0.82,1.54,2.07,1.68,1.763333333
0,0,0,0.68,1.21,2.24,2.57,2.13,2.313333333
0,0,0.49,0.66,1.76,2.87,2.69,2.72,2.76
0,0,0.36,1.25,1.12,3.5,2.23,2.66,2.796666667
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.21,0.42,0,0.21
0,0,0,0,0,0.44,0.47,0.52,0.476666667
0,0,0,0,0.5,0.98,1.32,1.02,1.106666667
0,0,0,0,0.51,1.45,1.35,1.49,1.43
0,0,0,0,0,0,0,0,0
0,0.27,0.38,0.96,1.46,2.85,3.33,3.44,3.206666667
0,0.21,0.4,1.16,1.18,2.99,2.74,3.38,3.036666667
0,0.2,0.59,0.96,1.71,3.04,3.01,3.66,3.236666667
0,0,0,0,0,1.79,0,0,0.596666667
0,0,0,0,0,0,0,0,0
0,0,0.61,1.31,1.91,3.04,3.26,3.55,3.283333333
0,0,0.61,0.83,1.62,3.16,3.66,2.76,3.193333333
0,0.17,0.58,1.03,1.8,3.07,3.84,2.86,3.256666667
0,0.29,0.58,1,1.8,2.95,3.6,3.91,3.486666667
0,0,0,0,0,0,0,0,0
0,0.3,0.37,1.09,1.44,2.75,2.95,3.56,3.086666667
0,0,0.6,1.06,1.33,3.16,2.85,3.74,3.25
0,0,0.48,1.17,1.66,3,3.63,3.69,3.44
0,0.47,0.59,1.12,1.58,3.27,3.73,4.25,3.75
0,0,0,0,0,0,0,0,0
0,0.29,0.82,1.08,1.54,2.9,2.62,3.51,3.01
0,0.3,1.28,1.57,2.37,5.03,4.44,4.37,4.613333333
0,0.52,1.44,1.94,2.05,4.38,4.87,5.47,4.906666667
0,0.64,1.36,2.26,3.39,4.92,5.51,4.33,4.92
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.04,0.9,1.08,1.006666667
0,0,0,0,0,0.97,0.76,1.3,1.01
0,0,0,0,0,0.99,1.21,1.01,1.07
0,0,0,0,0,0.92,0.83,0.93,0.893333333
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.44,0.63,0.48,0.516666667
0,0,0,0,0,0.47,0.53,0,0.333333333
0,0,0,0,0,0.72,0.45,0.46,0.543333333
0,0,0,0,0.62,0.74,0.86,0.64,0.746666667
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.59,0,0.196666667
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.53,0.54,0.65,3.17,3.51,3.89,3.523333333
0,0,0,0,0.7,2.62,4.13,3.98,3.576666667
0,0,0.56,0.66,0.97,3.56,2.87,3.45,3.293333333
0,0,0.54,0.59,0.97,3.51,3.8,4.55,3.953333333
0,0,0,0,0,0,0,0,0
0,0,0,0,0.6,2.93,2.79,2.86,2.86
0,0,0,0.8,1.02,3.85,4.25,4.45,4.183333333
