acat,hmgs,hmgr,mk,pmk,pmd,idi,gpps,ls,NAD,CoA,ATP
8.026682894,6.014507167,5.927470646,1,0.7,0.6,2,3,5.08,0,0,0
8.026682894,6.014507167,5.927470646,0.4,0.4,0.4,2,3,5.08,0,0,0
8.026682894,6.014507167,5.927470646,0.4,0.4,0.4,2,3,2.44,0,0,0
0.6,0.6,0.6,0.4,0.4,0.4,2,3,5.08,0,0,0
0.6,0.6,0.6,0.4,0.4,0.4,2,3,2.93,0,0,0
8.026682894,6.014507167,5.927470646,1,0.7,0.6,2,3,2.93,0,0,0
5.2434,6.1674,1.5,0.4,0.4,0.4,2,3,5.08,0,0,0
5.2434,1.5,1.5,0.4,0.4,0.4,2,3,5.08,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,5.08,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,0.4,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,1.5,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,0.4,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,1.5,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,3,3,0,0,0
6.9912,8.2232,0.4,0.4,0.4,0.4,2,2.5,1.8,0,0,0
6.9912,8.2232,1.5,0.4,0.4,0.4,2,2,1.8,0,0,0
6.9912,8.2232,1,0.4,0.4,0.4,2,2,1.8,0,0,0
6.9912,8.2232,1,0.4,0.4,0.4,2,2,1.8,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.2,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.6,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.8,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,1,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,2,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,0.8,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.6,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,1.9,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,2.75,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,1.58,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,0.7,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,3.386666667,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0,0,0,0
4.6608,5.482133333,1,0.4,0.4,0.4,2,3,0.7,0,0,0
