,Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
0,1,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.717847769
1,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.009186352
2,1,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.150918635
3,1,1,1,0.25,1,0.25,1,0.25,1,0.25,1.107611549
4,2,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.221784777
5,2,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.233595801
6,2,0.5,1,0.25,1,0.25,1,0.25,1,0.25,0.249343832
7,2,1,1,0.25,1,0.25,1,0.25,1,0.25,0.19816273
8,3,0.1,1,0.25,1,0.25,1,0.25,1,0.25,0.721784777
9,3,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1.221784777
10,3,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.111548556
11,3,1,1,0.25,1,0.25,1,0.25,1,0.25,0.713910761
12,4,0.1,1,0.25,1,0.25,1,0.25,1,0.25,1.217847769
13,4,0.25,1,0.25,1,0.25,1,0.25,1,0.25,0.997375328
14,4,0.5,1,0.25,1,0.25,1,0.25,1,0.25,1.351706037
15,4,1,1,0.25,1,0.25,1,0.25,1,0.25,1.17847769
16,1,0.25,1,0.1,1,0.25,1,0.25,1,0.25,0.963547995
17,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1
18,1,0.25,1,0.5,1,0.25,1,0.25,1,0.25,0.825030377
19,1,0.25,1,1,1,0.25,1,0.25,1,0.25,0.690157959
20,1,0.25,2,0.1,1,0.25,1,0.25,1,0.25,0.901579587
21,1,0.25,2,0.25,1,0.25,1,0.25,1,0.25,0.948967193
22,1,0.25,2,0.5,1,0.25,1,0.25,1,0.25,0.934386391
23,1,0.25,2,1,1,0.25,1,0.25,1,0.25,0.493317132
24,1,0.25,3,0.1,1,0.25,1,0.25,1,0.25,1.047387606
25,1,0.25,3,0.25,1,0.25,1,0.25,1,0.25,0.985419198
26,1,0.25,3,0.5,1,0.25,1,0.25,1,0.25,0.679222357
27,1,0.25,3,1,1,0.25,1,0.25,1,0.25,0.456865128
28,1,0.25,4,0.1,1,0.25,1,0.25,1,0.25,0.941676792
29,1,0.25,4,0.25,1,0.25,1,0.25,1,0.25,1.018226002
30,1,0.25,4,0.5,1,0.25,1,0.25,1,0.25,1.040097205
31,1,0.25,4,1,1,0.25,1,0.25,1,0.25,0.85054678
32,1,0.25,5,0.1,1,0.25,1,0.25,1,0.25,1.185905225
