Idi,Idi_conc,ispA,ispA_conc,CrtE,CrtE_conc,CrtB,CrtB_conc,CrtI,CrtI_conc,result
1,0.5,4,0.1,4,0.25,2,0.1,4,0.25,0.669099757
4,1,3,0.25,4,0.5,5,1,1,0.5,0.858880779
3,0.25,3,1,3,0.1,5,0.25,1,0.1,0.406326034
1,1,5,0.25,4,0.25,3,1,4,1,1.676399027
3,0.25,4,0.1,4,1,5,0.1,1,0.5,0.384428224
4,0.25,0,0,5,0.5,4,1,4,0.25,0.734793187
1,1,3,0.1,4,0.25,1,0.5,4,0.5,0.96107056
2,1,1,0.1,2,1,4,0.1,5,1,0.260340633
1,0.5,2,1,5,0.1,3,1,2,1,0.574209246
1,0.25,2,0.1,4,1,5,0.1,2,0.25,0.369829684
1,0.5,4,0.1,4,0.25,2,0.1,4,0.25,0.545012165
4,1,3,0.25,4,0.5,5,1,1,0.5,0.690997567
3,0.25,3,1,3,0.1,5,0.25,1,0.1,0.413625304
1,1,5,0.25,4,0.25,3,1,4,1,1.442822384
3,0.25,4,0.1,4,1,5,0.1,1,0.5,0.530413625
4,0.25,0,0,5,0.5,4,1,4,0.25,1.01946472
1,1,3,0.1,4,0.25,1,0.5,4,0.5,1.172749392
2,1,1,0.1,2,1,4,0.1,5,1,0.384428224
1,0.5,2,1,5,0.1,3,1,2,1,0.683698297
1,0.25,2,0.1,4,1,5,0.1,2,0.25,0.231143552
1,0.5,4,0.1,4,0.25,2,0.1,4,0.25,0.771289538
4,1,3,0.25,4,0.5,5,1,1,0.5,0.727493917
3,0.25,3,1,3,0.1,5,0.25,1,0.1,0.304136253
1,1,5,0.25,4,0.25,3,1,4,1,1.326034063
3,0.25,4,0.1,4,1,5,0.1,1,0.5,0.150851582
4,0.25,0,0,5,0.5,4,1,4,0.25,0.749391727
1,1,3,0.1,4,0.25,1,0.5,4,0.5,0.917274939
2,1,1,0.1,2,1,4,0.1,5,1,0.406326034
1,0.5,2,1,5,0.1,3,1,2,1,0.457420925
1,0.25,2,0.1,4,1,5,0.1,2,0.25,0.282238443
